[2025-11-13 12:37:13 UTC] Integrator started. Poll interval: 30s
Thresholds: {'cpu': 80.0, 'memory': 80.0, 'disk': 90.0, 'net_recv_kbps': 5000.0, 'net_trans_kbps': 3000.0}
Cooldowns: {'cpu': 300, 'memory': 300, 'disk': 600, 'net_recv_kbps': 300, 'net_trans_kbps': 300}
[2025-11-13 15:29:56 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:30:26 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:30:56 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:31:26 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:31:56 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:32:26 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:32:56 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:33:26 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:33:56 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:34:26 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:34:56 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:35:27 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:35:57 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
[2025-11-13 15:36:27 UTC] 2025-11-13 20:23:13 -> CPU:3.63% MEM:46.78% DISK:44.48% RX:0.58KB/s TX:0.71KB/s
